dvf_weight,step,dvf_raw,image_raw,dvf_weighted,image_weighted,total,image_to_dvf,vec_abs_max
0.5,5,0.0025442501064389944,6.420727004297078e-05,0.0012721250532194972,0.006420726887881756,0.007692852057516575,5.047245025634766,0.010191553272306919
0.5,6,0.001685258699581027,2.5872461264953017e-05,0.0008426293497905135,0.0025872462429106236,0.003429875709116459,3.070444107055664,0.01854550838470459
0.5,7,0.0020290359389036894,4.580421227728948e-05,0.0010145179694518447,0.0045804213732481,0.005594939459115267,4.514874458312988,0.02949102781713009
0.5,8,0.002221461618319154,5.1025792345171794e-05,0.001110730809159577,0.005102579016238451,0.006213309708982706,4.593893527984619,0.04718630015850067
0.5,9,0.002374440198764205,4.862026617047377e-05,0.0011872200993821025,0.0048620267771184444,0.006049246992915869,4.095303535461426,0.0765748843550682
0.5,10,0.0025635715574026108,4.0957766032079235e-05,0.0012817857787013054,0.004095776472240686,0.005377562250941992,3.1953673362731934,0.060224469751119614
2.0,1,0.002453341381624341,6.61607482470572e-05,0.004906682763248682,0.006616074591875076,0.011522756889462471,1.3483803272247314,8.717942364455666e-06
2.0,2,0.001756800222210586,3.997741441708058e-05,0.003513600444421172,0.003997741267085075,0.007511341944336891,1.137790560722351,0.0007364580524154007
2.0,3,0.002542880130931735,4.366649591247551e-05,0.00508576026186347,0.004366649780422449,0.00945241004228592,0.8586031794548035,0.002235009800642729
2.0,4,0.0015194903826341033,3.231733717257157e-05,0.0030389807652682066,0.0032317338045686483,0.006270714569836855,1.0634268522262573,0.0047022257931530476
2.0,5,0.0026944708079099655,6.601047061849385e-05,0.005388941615819931,0.006601047236472368,0.011989988386631012,1.2249245643615723,0.009138585068285465
2.0,6,0.0015442338772118092,2.62418561760569e-05,0.0030884677544236183,0.002624185523018241,0.005712653510272503,0.8496723175048828,0.011299476027488708
2.0,7,0.0018708696588873863,4.861921115661971e-05,0.0037417393177747726,0.004861921072006226,0.008603660389780998,1.2993745803833008,0.015421462245285511
2.0,8,0.0026319760363548994,6.4814870711416e-05,0.005263952072709799,0.006481487303972244,0.01174543984234333,1.2312967777252197,0.02391357161104679
2.0,9,0.002102987375110388,4.005357914138585e-05,0.004205974750220776,0.004005358088761568,0.008211333304643631,0.9523019790649414,0.03529419004917145
2.0,10,0.002268675249069929,3.300271782791242e-05,0.004537350498139858,0.0033002716954797506,0.007837622426450253,0.7273565530776978,0.03501713648438454
